@RELATION Gesture

@ATTRIBUTE red_0 NUMERIC
@ATTRIBUTE red_1 NUMERIC
@ATTRIBUTE red_2 NUMERIC
@ATTRIBUTE red_3 NUMERIC
@ATTRIBUTE red_4 NUMERIC
@ATTRIBUTE red_5 NUMERIC
@ATTRIBUTE red_6 NUMERIC
@ATTRIBUTE red_7 NUMERIC
@ATTRIBUTE red_8 NUMERIC
@ATTRIBUTE red_9 NUMERIC
@ATTRIBUTE red_10 NUMERIC
@ATTRIBUTE red_11 NUMERIC
@ATTRIBUTE red_12 NUMERIC
@ATTRIBUTE green_0 NUMERIC
@ATTRIBUTE green_1 NUMERIC
@ATTRIBUTE green_2 NUMERIC
@ATTRIBUTE green_3 NUMERIC
@ATTRIBUTE green_4 NUMERIC
@ATTRIBUTE green_5 NUMERIC
@ATTRIBUTE green_6 NUMERIC
@ATTRIBUTE green_7 NUMERIC
@ATTRIBUTE green_8 NUMERIC
@ATTRIBUTE green_9 NUMERIC
@ATTRIBUTE green_10 NUMERIC
@ATTRIBUTE green_11 NUMERIC
@ATTRIBUTE green_12 NUMERIC
@ATTRIBUTE blue_0 NUMERIC
@ATTRIBUTE blue_1 NUMERIC
@ATTRIBUTE blue_2 NUMERIC
@ATTRIBUTE blue_3 NUMERIC
@ATTRIBUTE blue_4 NUMERIC
@ATTRIBUTE blue_5 NUMERIC
@ATTRIBUTE blue_6 NUMERIC
@ATTRIBUTE blue_7 NUMERIC
@ATTRIBUTE blue_8 NUMERIC
@ATTRIBUTE blue_9 NUMERIC
@ATTRIBUTE blue_10 NUMERIC
@ATTRIBUTE blue_11 NUMERIC
@ATTRIBUTE blue_12 NUMERIC
@ATTRIBUTE clear_0 NUMERIC
@ATTRIBUTE clear_1 NUMERIC
@ATTRIBUTE clear_2 NUMERIC
@ATTRIBUTE clear_3 NUMERIC
@ATTRIBUTE clear_4 NUMERIC
@ATTRIBUTE clear_5 NUMERIC
@ATTRIBUTE clear_6 NUMERIC
@ATTRIBUTE clear_7 NUMERIC
@ATTRIBUTE clear_8 NUMERIC
@ATTRIBUTE clear_9 NUMERIC
@ATTRIBUTE clear_10 NUMERIC
@ATTRIBUTE clear_11 NUMERIC
@ATTRIBUTE clear_12 NUMERIC
@ATTRIBUTE proximity_0 NUMERIC
@ATTRIBUTE proximity_1 NUMERIC
@ATTRIBUTE proximity_2 NUMERIC
@ATTRIBUTE proximity_3 NUMERIC
@ATTRIBUTE proximity_4 NUMERIC
@ATTRIBUTE proximity_5 NUMERIC
@ATTRIBUTE proximity_6 NUMERIC
@ATTRIBUTE proximity_7 NUMERIC
@ATTRIBUTE proximity_8 NUMERIC
@ATTRIBUTE proximity_9 NUMERIC
@ATTRIBUTE proximity_10 NUMERIC
@ATTRIBUTE proximity_11 NUMERIC
@ATTRIBUTE proximity_12 NUMERIC
@ATTRIBUTE class {Up,Down,Left,Right,Undefinied}

@DATA
8.0, 4.666666666666667, 2.666666666666667, 2.0, 2.0, 2.833333333333334, 40.0, 15.999999999999986, 6.333333333333332, 24.5, 44.0, 45.83333333333333, 47.0, 9.0, 6.5, 3.666666666666667, 2.5, 2.0, 3.666666666666668, 42.0, 16.999999999999986, 7.333333333333332, 27.0, 48.0, 49.83333333333333, 51.0, 9.0, 6.833333333333334, 5.666666666666667, 4.5, 4.0, 4.833333333333334, 45.0, 17.999999999999986, 8.333333333333332, 28.0, 48.333333333333336, 50.666666666666664, 51.0, 24.0, 19.0, 13.0, 10.0, 9.0, 11.500000000000002, 133.0, 49.833333333333286, 19.666666666666664, 79.5, 144.66666666666669, 149.66666666666666, 153.0, 19.0, 31.999999999999996, 48.666666666666664, 51.5, 51.0, 49.33333333333333, 43.0, 36.66666666666666, 28.66666666666667, 22.5, 16.33333333333333, 10.83333333333334, 6.0, Up
7.0, 6.0, 4.0, 3.0, 2.0, 2.0, 3.0, 40.0, 41.0, 43.0, 44.0, 45.0, 46.0, 9.0, 8.0, 5.0, 4.0, 3.0, 3.0, 4.0, 43.0, 45.0, 47.0, 48.0, 49.0, 50.0, 9.0, 8.0, 6.0, 6.0, 5.0, 4.0, 5.0, 45.0, 47.0, 48.0, 49.0, 50.0, 51.0, 24.0, 20.0, 16.0, 12.0, 10.0, 10.0, 12.0, 134.0, 138.0, 143.0, 146.0, 148.0, 150.0, 14.0, 21.0, 35.0, 45.0, 45.0, 43.0, 40.0, 38.0, 30.0, 27.0, 18.0, 16.0, 9.0, Up
9.0, 6.333333333333334, 3.666666666666667, 2.0, 2.0, 2.666666666666667, 40.0, 41.333333333333336, 40.0, 42.0, 45.333333333333336, 46.0, 47.0, 10.0, 7.333333333333334, 4.666666666666667, 3.0, 2.0, 3.333333333333334, 43.0, 45.333333333333336, 42.0, 46.0, 49.333333333333336, 50.666666666666664, 52.0, 10.0, 8.333333333333334, 6.333333333333334, 5.0, 4.0, 4.666666666666667, 44.0, 47.0, 43.0, 47.0, 50.0, 50.666666666666664, 52.0, 28.0, 20.666666666666668, 14.666666666666668, 11.0, 9.0, 10.333333333333334, 134.0, 138.66666666666666, 130.0, 141.0, 149.33333333333334, 152.0, 154.0, 10.0, 30.333333333333332, 44.33333333333333, 54.0, 50.0, 47.33333333333333, 43.0, 35.99999999999999, 27.333333333333336, 19.0, 12.999999999999998, 7.0000000000000036, 6.0, Up
8.0, 6.166666666666667, 3.5, 2.25, 2.0, 2.0, 21.0, 40.416666666666664, 41.666666666666664, 43.5, 45.16666666666667, 46.08333333333333, 47.0, 10.0, 7.25, 4.5, 3.25, 3.0, 3.0, 23.0, 43.833333333333336, 46.0, 48.25, 49.16666666666667, 50.08333333333333, 51.0, 9.0, 8.083333333333334, 6.333333333333334, 5.25, 4.333333333333334, 4.0, 24.5, 45.833333333333336, 47.666666666666664, 49.25, 50.16666666666667, 51.08333333333333, 52.0, 24.0, 20.333333333333332, 15.0, 11.0, 9.333333333333334, 10.166666666666668, 72.0, 136.33333333333334, 142.0, 145.0, 148.33333333333334, 150.25, 153.0, 16.0, 27.0, 41.33333333333333, 47.0, 48.0, 46.83333333333333, 45.0, 39.416666666666664, 31.0, 24.25, 15.333333333333329, 11.500000000000007, 6.0, Up
10.0, 6.666666666666667, 4.333333333333334, 2.5, 2.0, 2.0, 12.0, 40.16666666666667, 31.333333333333368, 11.5, 33.66666666666671, 45.83333333333333, 47.0, 12.0, 8.666666666666668, 6.000000000000001, 3.5, 2.333333333333334, 2.833333333333334, 14.0, 44.16666666666667, 34.33333333333337, 12.5, 36.666666666666714, 49.83333333333333, 51.0, 11.0, 8.833333333333334, 7.333333333333334, 5.5, 4.333333333333334, 4.0, 17.0, 46.16666666666667, 35.66666666666671, 12.5, 37.33333333333338, 50.83333333333333, 52.0, 32.0, 23.666666666666668, 16.0, 12.0, 9.333333333333334, 9.0, 131.0, 136.16666666666666, 103.66666666666679, 64.0, 129.00000000000006, 150.5, 153.0, 7.0, 26.666666666666664, 48.666666666666664, 55.5, 54.333333333333336, 49.83333333333333, 49.0, 39.16666666666666, 28.33333333333334, 21.5, 13.999999999999993, 9.500000000000004, 6.0, Up
8.0, 4.75, 3.0, 1.25, 1.0, 3.0, 23.5, 41.75, 41.0, 12.75, 33.5, 46.0, 47.0, 10.0, 6.5, 4.0, 2.25, 2.0, 4.25, 26.5, 46.5, 44.0, 14.5, 36.0, 50.75, 52.0, 9.0, 7.75, 6.5, 5.25, 5.0, 6.25, 28.5, 48.5, 46.0, 14.0, 37.0, 51.0, 52.0, 27.0, 18.75, 13.0, 9.5, 8.0, 13.5, 81.0, 142.5, 135.0, 40.0, 110.0, 153.0, 155.0, 15.0, 43.75, 65.5, 70.0, 68.0, 64.0, 57.0, 45.5, 32.0, 18.0, 12.0, 9.0, 8.0, Up
7.0, 4.833333333333334, 2.8333333333333335, 2.0, 2.0, 17.833333333333343, 23.0, 6.0, 23.999999999999986, 41.25, 45.66666666666667, 46.916666666666664, 48.0, 8.0, 5.833333333333334, 3.8333333333333335, 2.75, 2.333333333333333, 19.66666666666668, 25.0, 7.0, 26.999999999999982, 46.0, 50.66666666666667, 51.916666666666664, 53.0, 8.0, 6.916666666666667, 5.833333333333334, 4.75, 4.333333333333333, 21.66666666666668, 26.5, 8.0, 27.999999999999982, 46.25, 50.66666666666667, 51.916666666666664, 53.0, 24.0, 18.416666666666668, 11.5, 8.75, 9.333333333333332, 62.4166666666667, 75.5, 18.583333333333336, 82.33333333333329, 140.25, 151.5, 154.75, 157.0, 29.0, 53.58333333333333, 70.5, 66.25, 59.0, 52.916666666666664, 44.0, 33.916666666666664, 26.333333333333336, 21.0, 14.166666666666663, 8.41666666666667, 6.0, Up
11.0, 6.75, 3.666666666666667, 1.75, 1.333333333333333, 3.666666666666668, 23.0, 38.25, 17.666666666666686, 34.25, 45.5, 46.916666666666664, 48.0, 12.0, 7.75, 4.666666666666667, 2.75, 2.0, 4.083333333333335, 25.5, 41.666666666666664, 20.000000000000018, 37.75, 49.5, 50.916666666666664, 52.0, 12.0, 8.833333333333334, 6.833333333333334, 5.75, 5.0, 6.666666666666668, 27.5, 43.08333333333333, 20.33333333333335, 38.5, 50.5, 51.916666666666664, 52.0, 30.0, 23.25, 14.5, 11.25, 9.0, 14.416666666666671, 80.0, 128.66666666666666, 58.66666666666672, 113.25, 148.66666666666669, 152.75, 155.0, 6.0, 38.916666666666664, 72.16666666666667, 76.0, 68.33333333333333, 62.08333333333333, 51.0, 39.33333333333333, 27.333333333333343, 18.5, 11.166666666666663, 10.0, 5.0, Up
8.0, 5.25, 3.3333333333333335, 2.25, 1.3333333333333335, 2.166666666666668, 22.0, 30.166666666666657, 12.666666666666668, 17.25, 45.16666666666667, 46.08333333333333, 47.0, 10.0, 6.333333333333334, 4.333333333333334, 2.5, 2.0, 3.166666666666668, 23.5, 31.749999999999993, 14.000000000000002, 19.75, 49.333333333333336, 51.08333333333333, 52.0, 10.0, 7.25, 6.166666666666667, 5.25, 4.333333333333334, 5.166666666666668, 26.0, 33.49999999999999, 14.000000000000002, 20.0, 50.16666666666667, 51.08333333333333, 52.0, 27.0, 18.75, 13.0, 10.5, 8.666666666666668, 10.333333333333336, 74.5, 99.08333333333331, 39.00000000000001, 55.5, 147.83333333333334, 152.33333333333331, 156.0, 15.0, 44.33333333333333, 57.83333333333333, 60.75, 57.666666666666664, 53.666666666666664, 46.5, 37.666666666666664, 29.000000000000004, 19.5, 13.999999999999993, 8.833333333333336, 7.0, Up
9.0, 15.0, 21.0, 27.0, 33.0, 39.0, 45.0, 45.333333333333336, 45.666666666666664, 46.0, 46.0, 46.0, 46.0, 10.0, 16.666666666666664, 23.333333333333332, 30.0, 36.33333333333333, 42.66666666666667, 49.0, 49.333333333333336, 49.666666666666664, 50.0, 50.0, 50.0, 50.0, 10.0, 17.333333333333332, 24.666666666666664, 32.0, 38.0, 44.0, 50.0, 50.333333333333336, 50.666666666666664, 51.0, 51.0, 51.0, 51.0, 26.0, 48.666666666666664, 71.33333333333333, 94.0, 112.66666666666666, 131.33333333333334, 150.0, 150.0, 150.0, 150.0, 150.33333333333334, 150.66666666666666, 151.0, 12.0, 17.666666666666664, 23.333333333333332, 29.0, 29.0, 29.0, 29.0, 26.0, 23.0, 20.0, 15.333333333333332, 10.666666666666668, 6.0, Up
